Value.number,Value.name,Value.CardFrame,Value.CardType,Value.Level,Value.Scale,Value.Attack,Value.Defense,Value.Attribute
18760514,Mad Mauler,effect,Zombie,2,,400,200,DARK
31034919,Mad Reloader,effect,Fiend,1,,0,0,DARK
79870141,Mad Sword Beast,effect,Dinosaur,4,,1400,1200,EARTH
96127902,Made to Order Mermaid Outfit Outfitter,spell,Normal,,,,,
43905751,Madjinn Gunn,normal,Fiend,2,,600,800,DARK
34680482,Madolche Anjelly,effect,Fairy,4,,1000,1000,EARTH
49374988,Madolche Baaple,effect,Beast,3,,0,1800,EARTH
48252330,Madolche Butlerusk,effect,Spellcaster,4,,1500,800,EARTH
14001430,Madolche Chateau,spell,Field,,,,,
26570480,Madolche Chickolates,effect,Beast,3,,800,1500,EARTH
75363626,Madolche Chouxvalier,effect,Warrior,4,,1700,1300,EARTH
89521713,Madolche Cruffssant,effect,Beast,3,,1500,1200,EARTH
51650038,Madolche Dessert,trap,Normal,,,,,
96150936,Madolche Fresh Sistart,link,Fairy,2,,1500,,EARTH
91350799,Madolche Hootcake,effect,Beast,3,,1500,1100,EARTH
12940613,Madolche Lesson,trap,Normal,,,,,
11868731,Madolche Magileine,effect,Spellcaster,4,,1400,1200,EARTH
26016357,Madolche Marmalmaide,effect,Spellcaster,4,,800,2000,EARTH
52404456,Madolche Messengelato,effect,Warrior,4,,1600,1000,EARTH
12980373,Madolche Mewfeuille,effect,Beast,3,,500,300,EARTH
38745241,Madolche Mewgnard Meowcaron,link,Beast,3,,2300,,EARTH
79759367,Madolche Nights,trap,Counter,,,,,
77848740,Madolche Petingcessoeur,effect,Fairy,4,,1400,1400,EARTH
68159562,Madolche Promenade,trap,Normal,,,,,
74641045,Madolche Puddingcess,effect,Fairy,5,,1000,1000,EARTH
44311445,Madolche Puddingcess Chocolat-a-la-Mode,xyz,Fairy,5,,2500,2200,EARTH
49689480,Madolche Queen Tiara-a-la-Fraise,xyz,Fairy,5,,2600,2500,EARTH
37164373,Madolche Queen Tiaramisu,xyz,Fairy,4,,2200,2100,EARTH
71348837,Madolche Salon,spell,Continuous,,,,,
75833426,Madolche Tea Break,trap,Counter,,,,,
20343502,Madolche Teacher Glassouffle,xyz,Fairy,4,,1800,2500,EARTH
60470713,Madolche Ticket,spell,Continuous,,,,,
48439321,Madolche Waltz,trap,Continuous,,,,,
23681456,Madolchepalooza,trap,Normal,,,,,
25341652,Maestroke the Symphony Djinn,xyz,Fiend,4,,1800,2300,DARK
83746708,Mage Power,spell,Equip,,,,,
26534688,"Magellanica, the Deep Sea City",spell,Field,,,,,
10000030,Magi Magi ? Magician Gal,xyz,Spellcaster,6,,2400,2000,DARK
62279055,Magic Cylinder,trap,Normal,,,,,
96474800,Magic Deflector,trap,Normal,,,,,
59344077,Magic Drain,trap,Counter,,,,,
67227834,Magic Formula,spell,Equip,,,,,
49941059,Magic Gate of Miracles,spell,Normal,,,,,
22530212,Magic Hand,effect,Spellcaster,4,,800,1600,DARK
82458280,Magic Hole Golem,effect,Rock,3,,0,2000,DARK
77414722,Magic Jammer,trap,Counter,,,,,
1073952,Magic Planter,spell,Normal,,,,,
61844784,Magic Reflector,spell,Normal,,,,,
64990807,Magic Triangle of the Ice Barrier,spell,Normal,,,,,
10239627,Magical Abductor,effect_pendulum,Spellcaster,4,3,1700,1400,EARTH
43385557,Magical Android,synchro,Psychic,5,,2400,1700,LIGHT
96008713,Magical Arm Shield,trap,Normal,,,,,
91819979,Magical Blast,spell,Normal,,,,,
72171665,Magical Broker,effect,Spellcaster,3,,1500,200,DARK
23220863,Magical Cavalry of Cxulub,effect_pendulum,Dinosaur,4,3,1500,1800,EARTH
39910367,Magical Citadel of Endymion,spell,Field,,,,,
18809562,Magical Contract Door,spell,Normal,,,,,
15943341,Magical Cylinders,trap,Normal,,,,,
28553439,Magical Dimension,spell,Quick-Play,,,,,
6061630,Magical Exemplar,effect,Spellcaster,4,,1700,1400,EARTH
32723153,Magical Explosion,trap,Normal,,,,,
46474915,Magical Ghost,normal,Zombie,4,,1300,1400,DARK
81210420,Magical Hats,trap,Normal,,,,,
51916853,Magical Hound,effect,Machine,1,,500,800,EARTH
35058857,Magical King Moonstar,effect,Fiend,3,,900,600,DARK
64389297,Magical Labyrinth,spell,Equip,,,,,
85852291,Magical Mallet,spell,Normal,,,,,
8034697,Magical Marionette,effect,Spellcaster,5,,2000,1000,DARK
47679935,Magical Meltdown,spell,Field,,,,,
32362575,Magical Merchant,effect,Insect,1,,200,700,LIGHT
71650854,Magical Mid-Breaker Field,spell,Field,,,,,
47810543,Magical Musket - Crooked Crown,trap,Continuous,,,,,
93356623,Magical Musket - Cross-Domination,spell,Quick-Play,,,,,
66149377,Magical Musket - Dancing Needle,trap,Normal,,,,,
20745268,Magical Musket - Desperado,trap,Normal,,,,,
92534075,Magical Musket - Fiendish Deal,trap,Continuous,,,,,
29628180,Magical Musket - Last Stand,trap,Counter,,,,,
67901914,Magical Musket - Steady Hands,spell,Quick-Play,,,,,
30907810,Magical Musket Mastermind Zakiel,effect,Fiend,8,,2500,2500,LIGHT
68024506,Magical Musketeer Calamity,effect,Fiend,4,,1500,1300,LIGHT
32841045,Magical Musketeer Caspar,effect,Fiend,3,,1200,2000,LIGHT
68246154,Magical Musketeer Doc,effect,Fiend,3,,1400,1200,LIGHT
5230799,Magical Musketeer Kidbrave,effect,Fiend,3,,1600,200,LIGHT
71791814,Magical Musketeer Max,link,Fiend,1,,1000,,LIGHT
31629407,Magical Musketeer Starfire,effect,Fiend,4,,1300,1700,LIGHT
94418111,Magical Musketeer Wild,effect,Fiend,4,,1700,900,LIGHT
7802006,Magical Plant Mandragola,effect,Spellcaster,2,,500,200,DARK
3918345,Magical Reflect Slime,effect,Aqua,3,,700,1200,WATER
34206604,Magical Scientist,effect,Spellcaster,1,,300,300,DARK
43930492,Magical Something,effect,Spellcaster,4,,1800,1300,DARK
43455065,Magical Spring,spell,Quick-Play,,,,,
18752707,Magical Star Illusion,spell,Normal,,,,,
98494543,Magical Stone Excavation,spell,Normal,,,,,
53119267,Magical Thorn,trap,Continuous,,,,,
85758066,Magical Trick Mirror,trap,Normal,,,,,
30608985,Magical Undertaker,effect,Spellcaster,2,,400,400,DARK
43857222,Magicalibra,normal_pendulum,Spellcaster,4,5,1000,1000,WATER
24845628,Magicalized Duston Mop,spell,Equip,,,,,
11827244,Magicalized Fusion,spell,Normal,,,,,
25531465,Magicat,effect,Spellcaster,2,,600,500,LIGHT
7922915,Magician Navigation,trap,Normal,,,,,
30208479,Magician of Black Chaos,ritual,Spellcaster,8,,2800,2600,DARK
79613121,Magician of Black Chaos MAX,ritual,Spellcaster,8,,2800,2600,DARK
47963370,Magician of Chaos,ritual,Spellcaster,7,,2500,2100,DARK
35191415,Magician of Dark Illusion,effect,Spellcaster,7,,2100,2500,DARK
31560081,Magician of Faith,effect,Spellcaster,1,,300,400,LIGHT
67853262,Magician of Faithfulness,effect,Spellcaster,5,,600,800,LIGHT
67865534,Magician of Hope,xyz_pendulum,Spellcaster,4,8,2500,2000,LIGHT
300302013,Magician's Act,skill,Arkana,,,,,
50755,Magician's Circle,trap,Normal,,,,,
13758665,Magician's Left Hand,spell,Continuous,,,,,
40252269,Magician's Restage,spell,Continuous,,,,,
87769556,Magician's Right Hand,spell,Continuous,,,,,
71696014,Magician's Robe,effect,Spellcaster,2,,700,2000,DARK
7084129,Magician's Rod,effect,Spellcaster,3,,1600,100,DARK
95477924,Magician's Salvation,spell,Field,,,,,
80304126,Magician's Valkyria,effect,Spellcaster,4,,1600,1800,LIGHT
15845914,Magicians of Bonds and Unity,effect,Spellcaster,8,,2500,2500,LIGHT
36045450,Magicians Unite,spell,Normal,,,,,
86509711,Magicians' Combination,trap,Continuous,,,,,
89448140,Magicians' Defense,trap,Continuous,,,,,
97631303,Magicians' Souls,effect,Spellcaster,1,,0,0,DARK
66078354,Magicore Warrior of the Relics,effect,Warrior,4,,2300,1000,FIRE
47929865,Magidog,effect,Spellcaster,4,,1700,1000,LIGHT
54408264,Magikey Battle,spell,Quick-Play,,,,,
45655875,Magikey Beast - Ansyalabolas,fusion,Beast,4,,2200,2000,DARK
26988374,Magikey Deity - Ashtartu,xyz,Fairy,8,,3000,3000,LIGHT
71159974,Magikey Dragon - Andrabime,fusion,Dragon,8,,2800,2000,WIND
51510279,Magikey Duo,trap,Normal,,,,,
69522668,Magikey Fiend - Transfurlmine,synchro,Thunder,8,,2800,2800,FIRE
40493210,Magikey Locking,trap,Normal,,,,,
99426088,Magikey Maftea,spell,Normal,,,,,
45877457,Magikey Mechmortar - Garesglasser,ritual,Machine,8,,2000,2800,EARTH
19489718,Magikey Mechmusket - Batosbuster,ritual,Machine,4,,2000,2200,DARK
68300121,Magikey Spirit - Vepartu,xyz,Sea Serpent,4,,2000,2000,WATER
98904974,Magikey Unlocking,trap,Counter,,,,,
35815783,Magikey World,spell,Field,,,,,
31699677,Magikuriboh,effect,Fiend,1,,300,200,DARK
15983048,Maginificent Magikey Mafteal,effect,Fiend,4,,1600,1600,LIGHT
66104644,Magister of Endymion,effect_pendulum,Spellcaster,3,8,1500,900,EARTH
58270977,Magistery Alchemist,trap,Normal,,,,,
34933456,Magistus Invocation,spell,Normal,,,,,
7548747,Magistus Theurgy,spell,Quick-Play,,,,,
327051,Magistus Vritra,spell,Normal,,,,,
95833645,Magma Dragon,effect,Wyrm,4,,1600,1200,FIRE
50951254,Magmacho Dragon,effect,Pyro,8,,1800,2200,FIRE
36750412,Magna Drago,effect,Dragon,2,,1400,600,FIRE
72903645,Magna-Slash Dragon,effect,Dragon,6,,2400,1200,LIGHT
26655293,Magnarokket Dragon,effect,Dragon,4,,1800,1200,DARK
94940436,Magnet Circle LV2,spell,Normal,,,,,
77133792,Magnet Conversion,trap,Normal,,,,,
17841166,Magnet Force,trap,Normal,,,,,
54734082,Magnet Induction,spell,Normal,,,,,
80352158,Magnet Reverse,spell,Quick-Play,,,,,
300302014,Magnetic Attraction,skill,Yami Yugi,,,,,
4740489,Magnetic Field,spell,Field,,,,,
50074522,Magnetic Mosquito,effect,Insect,3,,300,1000,LIGHT
27331568,Magnificent Machine Angel,spell,Quick-Play,,,,,
84877802,Magnum Shield,spell,Equip,,,,,
43227,Magnum the Reliever,fusion,Fiend,8,,2800,2000,LIGHT
93013676,Maha Vailo,effect,Spellcaster,4,,1550,1400,LIGHT
45796834,"Maha Vailo, Light of the Heavens",effect,Spellcaster,8,,1550,1400,LIGHT
545781,Mahaama the Fairy Dragon,effect,Dragon,5,,0,2500,LIGHT
40695128,Maharaghi,effect,Rock,4,,1200,1700,EARTH
53620899,Mahjong Munia Maidens,effect,Winged Beast,2,,200,2000,WIND
21524779,Mahunder,effect,Thunder,4,,1400,700,LIGHT
99176254,Maiden of Blue Tears,trap,Normal,,,,,
84055227,Maiden of Macabre,effect,Spellcaster,4,,1700,0,DARK
17214465,Maiden of the Aqua,effect,Aqua,4,,700,2000,WATER
79629370,Maiden of the Moonlight,normal,Spellcaster,4,,1500,1300,LIGHT
88241506,Maiden with Eyes of Blue,effect,Spellcaster,1,,0,0,LIGHT
74983882,Maize Token,token,Plant,1,,0,0,EARTH
5506791,Majespecter Cat - Nekomata,effect_pendulum,Spellcaster,3,2,100,1800,WIND
68395509,Majespecter Crow - Yata,effect_pendulum,Spellcaster,4,5,1000,1500,WIND
49366157,Majespecter Cyclone,spell,Quick-Play,,,,,
3594985,Majespecter Draco - Ryu,xyz_pendulum,Spellcaster,4,5,2300,2000,WIND
94784213,Majespecter Fox - Kyubi,effect_pendulum,Spellcaster,4,2,1500,1000,WIND
5153769,Majespecter Gust,trap,Normal,,,,,
66384688,Majespecter Orthrus - Nue,link,Spellcaster,2,,1500,,WIND
51073802,Majespecter Porcupine - Yamarashi,effect_pendulum,Spellcaster,4,2,1500,1500,WIND
31991800,Majespecter Raccoon - Bunbuku,effect_pendulum,Spellcaster,3,5,1200,900,WIND
13611090,Majespecter Sonics,spell,Quick-Play,,,,,
13972452,Majespecter Storm,spell,Normal,,,,,
78949372,Majespecter Supercell,trap,Continuous,,,,,
2572890,Majespecter Tempest,trap,Counter,,,,,
645794,Majespecter Toad - Ogama,effect_pendulum,Spellcaster,4,5,1300,500,WIND
36183881,Majespecter Tornado,trap,Normal,,,,,
31178212,Majespecter Unicorn - Kirin,effect_pendulum,Spellcaster,6,2,2000,2000,WIND
51250293,Majespecter Wind,spell,Quick-Play,,,,,
88722973,"Majester Paladin, the Ascending Dracoslayer",xyz,Dragon,4,,1850,2000,WIND
63144961,Majestic Absorption,spell,Normal,,,,,
21159309,Majestic Dragon,effect,Dragon,1,,0,0,LIGHT
95701283,Majestic Mech - Goryu,effect,Fairy,8,,2900,1800,LIGHT
69303178,Majestic Mech - Ohka,effect,Fairy,6,,2400,1400,LIGHT
32918479,Majestic Mech - Senku,effect,Fairy,4,,1000,500,LIGHT
98020526,Majestic Mirage,trap,Continuous,,,,,
67030233,Majestic Red Dragon,synchro,Dragon,10,,4000,3000,DARK
7841112,Majestic Star Dragon,synchro,Dragon,10,,3800,3000,WIND
91434602,Majesty Hyperion,effect,Fairy,8,,2100,2700,DARK
95004025,"Majesty Maiden, the True Dracocaster",effect,Wyrm,5,,2300,1500,WIND
92332424,"Majesty Pegasus, the Dracoslayer",effect_pendulum,Spellcaster,4,2,1500,1500,WIND
2783661,Majesty with Eyes of Blue,spell,Quick-Play,,,,,
33746252,Majesty's Fiend,effect,Fiend,6,,2400,1000,LIGHT
76473843,Majesty's Pegasus,spell,Field,,,,,
60102563,Maji-Gire Panda,effect,Beast,4,,1000,800,EARTH
67211766,Majioshaleon,effect,Reptile,5,,2000,800,WATER
59951714,Majiosheldon,effect,Warrior,3,,800,2000,WATER
9074847,Major Riot,trap,Normal,,,,,
8794435,Maju Garzett,effect,Fiend,7,,0,0,DARK
27827272,"Makiu, the Magical Mist",spell,Normal,,,,,
21593977,Makyura the Destructor,effect,Warrior,4,,1600,1200,DARK
35330871,"Malacoda, Netherlord of the Burning Abyss",ritual,Fiend,6,,2700,2200,DARK
9433350,Malefic Blue-Eyes White Dragon,effect,Dragon,8,,3000,2500,DARK
53063039,Malefic Claw Stream,trap,Normal,,,,,
1710476,Malefic Cyber End Dragon,effect,Machine,10,,4000,2800,DARK
81384993,Malefic Divide,spell,Quick-Play,,,,,
16958382,Malefic Paradigm Dragon,effect,Dragon,10,,4000,4000,DARK
8310162,Malefic Paradox Dragon,synchro,Dragon,10,,4000,4000,DARK
48829461,Malefic Paradox Gear,effect,Machine,1,,0,0,DARK
74509280,Malefic Parallel Gear,effect,Machine,2,,0,0,DARK
598988,Malefic Rainbow Dragon,effect,Dragon,10,,4000,0,DARK
55343236,Malefic Red-Eyes Black Dragon,effect,Dragon,7,,2400,2000,DARK
18378992,Malefic Selector,spell,Normal,,,,,
36521459,Malefic Stardust Dragon,effect,Dragon,8,,2500,2000,DARK
75223115,Malefic Territory,spell,Continuous,,,,,
37115575,Malefic Truth Dragon,effect,Dragon,12,,5000,5000,DARK
44763696,Malefic Tune,trap,Normal,,,,,
27564031,Malefic World,spell,Field,,,,,
1224927,Malevolent Catastrophe,trap,Normal,,,,,
31571902,Malevolent Mech - Goku En,effect,Zombie,6,,2400,1400,LIGHT
99597615,Malevolent Nuzzler,spell,Equip,,,,,
6137095,Malfunction,trap,Counter,,,,,
14255590,Malice Ascendant,effect,Zombie,4,,700,1000,DARK
13626450,Malice Dispersion,spell,Quick-Play,,,,,
72657739,Malice Doll of Demise,effect,Fiend,4,,1600,1700,DARK
25643346,"Malice, Lady of Lament",effect,Fiend,3,,1000,1000,DARK
61791132,Malicevorous Fork,effect,Fiend,2,,400,400,DARK
98780137,Malicevorous Knife,effect,Fiend,2,,600,100,DARK
35307484,Malicevorous Spoon,effect,Fiend,2,,100,500,DARK
42671152,Malus Token,token,Fiend,1,,0,0,DARK
83828288,Mamemaki,trap,Normal,,,,,
40374923,Mammoth Graveyard,normal,Dinosaur,3,,1200,800,EARTH
40680521,Mamonaka the Vaylantz United,fusion_pendulum,Spellcaster,10,10,2800,2800,WATER
71395725,Man Beast of Ares,effect,Beast-Warrior,3,,500,500,EARTH
93553943,Man Eater,normal,Plant,2,,800,600,EARTH
54652250,Man-Eater Bug,effect,Insect,2,,450,600,EARTH
80727036,Man-Eating Black Shark,fusion,Fish,5,,2100,1300,WATER
49127943,Man-Eating Plant,normal,Plant,2,,800,600,EARTH
13723605,Man-Eating Treasure Chest,normal,Fiend,4,,1600,1000,DARK
43714890,Man-Thro' Tro',effect,Beast-Warrior,4,,1000,1000,EARTH
11074235,Mana Dragon Zirnitron,effect,Dragon,6,,2200,1200,DARK
19474136,Mandragon,normal_pendulum,Plant,5,2,2500,1000,EARTH
38369349,Manga Ryu-Ran,effect,Dragon,7,,2200,2600,FIRE
33455338,Maniacal Servant,effect,Spellcaster,3,,600,1000,DARK
95492061,Manju of the Ten Thousand Hands,effect,Fairy,4,,1400,1000,LIGHT
45065541,Mannadium Abscission,spell,Normal,,,,,
71164684,Mannadium Breakheart,trap,Normal,,,,,
17272964,Mannadium Fearless,effect,Fairy,2,,0,2000,EARTH
19671433,Mannadium Imaginings,spell,Normal,,,,,
44760562,Mannadium Meek,effect,Fairy,2,,0,1800,WATER
90465153,Mannadium Prime-Heart,synchro,Fairy,10,,3000,3000,LIGHT
18158393,Mannadium Reframing,trap,Counter,,,,,
71277255,Mannadium Riumheart,effect,Warrior,4,,1500,2100,LIGHT
80621253,Mannadium Torrid,effect,Fairy,2,,0,1500,FIRE
21368273,Mannadium Trisukta,synchro,Fairy,6,,2300,1200,LIGHT
36890111,Mansion of the Underworld Dolls,spell,Field,,,,,
77121851,Manticore of Darkness,effect,Beast-Warrior,6,,2300,1000,FIRE
64538914,Manticore of Smashing,effect,Beast-Warrior,6,,2300,1000,FIRE
73104892,Maple Maiden,synchro,Fairy,7,,2100,2600,WIND
73417207,Mara of the Nordic Alfar,effect,Spellcaster,2,,1000,500,DARK
2460565,Marauding Captain,effect,Warrior,3,,1200,400,EARTH
24037702,March of the Dark Brigade,spell,Normal,,,,,
19870120,March of the Monarchs,spell,Continuous,,,,,
28643791,March Towards Ragnarok,spell,Quick-Play,,,,,
13903402,"Mardel, Generaider Boss of Light",effect,Plant,9,,2400,2400,LIGHT
54537489,Mare Mare,effect,Wyrm,7,,2100,1400,WATER
62632427,Margin Trading,spell,Normal,,,,,
94160895,"Mariamne, the True Dracophoenix",effect,Wyrm,9,,2700,2100,WIND
78540593,"Marina, Princess of Sunflowers",effect,Plant,8,,2800,1600,FIRE
20934852,Marincess Aqua Argonaut,link,Cyberse,4,,2300,,WATER
33945211,Marincess Basilalima,effect,Cyberse,4,,600,2100,WATER
91027843,Marincess Battle Ocean,spell,Field,,,,,
43735670,Marincess Blue Slug,link,Cyberse,1,,1500,,WATER
91953000,Marincess Blue Tang,effect,Cyberse,4,,1500,1200,WATER
19712214,Marincess Bubble Ring,trap,Normal,,,,,
27012990,Marincess Cascade,trap,Normal,,,,,
83723605,Marincess Circulation,trap,Normal,,,,,
79130389,Marincess Coral Anemone,link,Cyberse,2,,2000,,WATER
84546257,Marincess Coral Triangle,link,Cyberse,3,,1500,,WATER
54569495,Marincess Crown Tail,effect,Cyberse,5,,600,2300,WATER
67712104,Marincess Crystal Heart,link,Cyberse,2,,0,,WATER
84430165,Marincess Current,trap,Normal,,,,,
57329501,Marincess Dive,spell,Normal,,,,,
47910940,Marincess Great Bubble Reef,link,Cyberse,4,,2600,,WATER
28174796,Marincess Mandarin,effect,Cyberse,1,,100,100,WATER
5524387,Marincess Marbled Rock,link,Cyberse,3,,2500,,WATER
99885917,Marincess Pascalus,effect,Cyberse,4,,1200,2000,WATER
30691817,Marincess Sea Angel,link,Cyberse,1,,1000,,WATER
36492575,Marincess Sea Horse,effect,Cyberse,3,,1400,1000,WATER
62886670,Marincess Sea Star,effect,Cyberse,2,,800,400,WATER
57541158,Marincess Sleepy Maiden,effect,Cyberse,5,,500,2500,WATER
80627281,Marincess Snow,trap,Normal,,,,,
21057444,Marincess Springirl,effect,Cyberse,4,,1200,1000,WATER
52945066,Marincess Wave,trap,Normal,,,,,
94207108,Marincess Wonder Heart,link,Cyberse,4,,2400,,WATER
29929832,Marine Beast,fusion,Fish,5,,1700,1600,WATER
87514539,Marionette Mite,effect,Insect,3,,1000,1000,DARK
45247637,Mark of the Rose,spell,Equip,,,,,
48737767,Marmiting Captain,effect,Warrior,3,,1200,400,EARTH
63881033,Marshalling Field,trap,Continuous,,,,,
93749093,Marshmacaron,effect,Fairy,1,,200,200,LIGHT
31305911,Marshmallon,effect,Fairy,3,,300,500,LIGHT
66865880,Marshmallon Glasses,spell,Continuous,,,,,
81846453,Martial Metal Marcher,synchro,Machine,3,,500,2200,WIND
71466592,Maryokutai,effect,Aqua,3,,900,900,WATER
44287299,Masaki the Legendary Swordsman,normal,Warrior,4,,1100,1100,EARTH
21143940,Mask Change,spell,Quick-Play,,,,,
93600443,Mask Change II,spell,Quick-Play,,,,,
87819421,Mask Charge,spell,Normal,,,,,
82432018,Mask of Brutality,spell,Equip,,,,,
28933734,Mask of Darkness,effect,Fiend,2,,900,400,DARK
20765952,Mask of Dispel,spell,Continuous,,,,,
29549364,Mask of Restrict,trap,Continuous,,,,,
56948373,Mask of the Accursed,spell,Equip,,,,,
57882509,Mask of Weakness,trap,Normal,,,,,
48948935,Masked Beast Des Gardius,effect,Fiend,8,,3300,2500,DARK
53573406,Masked Chameleon,effect,Reptile,4,,1600,1100,EARTH
87350908,Masked Chopper,effect,Fiend,1,,100,100,EARTH
77581312,Masked Clown,normal,Warrior,2,,500,700,DARK
39191307,Masked Dragon,effect,Dragon,3,,1400,1100,FIRE
29095552,Masked HERO Acid,fusion,Warrior,8,,2600,2100,WATER
59642500,Masked HERO Anki,fusion,Warrior,8,,2800,1200,DARK
89870349,Masked HERO Blast,fusion,Warrior,6,,2200,1800,WIND
58481572,Masked HERO Dark Law,fusion,Warrior,6,,2400,1800,DARK
62624486,Masked HERO Dian,fusion,Warrior,8,,2800,3000,EARTH
22093873,Masked HERO Divine Wind,fusion,Warrior,8,,2700,1900,WIND
58147549,Masked HERO Goka,fusion,Warrior,6,,2200,1800,FIRE
50608164,Masked HERO Koga,fusion,Warrior,8,,2500,1800,LIGHT
10920352,Masked HERO Vapor,fusion,Warrior,6,,2400,2000,WATER
22512406,Masked Ninja Ebisu,effect,Warrior,4,,1200,1800,WIND
10189126,Masked Sorcerer,effect,Spellcaster,4,,900,1400,DARK
6855503,Masquerade the Blazing Dragon,fusion,Fiend,8,,2500,2000,DARK
34906152,Mass Driver,spell,Continuous,,,,,
21768554,Mass Hypnosis,trap,Continuous,,,,,
67820935,Massivemorph,trap,Normal,,,,,
75499502,Master & Expert,normal,Beast,4,,1200,1000,EARTH
25727454,Master Craftsman Gamil,effect,Pyro,2,,200,200,FIRE
16191953,Master Gig,effect,Psychic,8,,2600,1400,EARTH
55794644,Master Hyperion,effect,Fairy,8,,2700,2100,LIGHT
24530661,Master Kyonshee,normal,Zombie,4,,1750,1000,EARTH
49814180,Master Monk,effect,Rock,5,,1900,1000,EARTH
85059922,Master of Chaos,fusion,Spellcaster,8,,3000,2500,DARK
9551692,Master of Ham,fusion,Beast,5,,2100,1850,EARTH
27134689,Master of Oz,fusion,Beast,9,,4200,3700,EARTH
34160055,Master of the Flaming Dragonswords,effect,Warrior,4,,1800,1200,FIRE
34079868,"Master Peace, the True Dracoslayer",effect,Dragon,8,,2950,2950,LIGHT
21377582,"Master Peace, the True Dracoslaying King",effect,Wyrm,8,,2950,2950,LIGHT
75195825,"Master Pendulum, the Dracoslayer",normal_pendulum,Dragon,4,3,1950,0,LIGHT
34541543,Master Tao the Chanter,effect,Illusion,3,,1200,900,EARTH
45644898,Master with Eyes of Blue,effect,Spellcaster,1,,300,1200,LIGHT
11327848,Master's Diploman,effect,Machine,5,,2000,2000,DARK
63101468,Masterflare Hyperion,synchro,Fairy,10,,3200,2600,LIGHT
35606858,Masterking Archfiend,link,Fiend,2,,2000,,DARK
22609617,Mataza the Zapper,effect,Warrior,3,,1300,800,DARK
94446564,Matching Outfits,trap,Normal,,,,,
17008760,Materiactor Annulus,spell,Normal,,,,,
70597485,Materiactor Gigaboros,xyz,Dragon,3,,500,500,DARK
33008376,Materiactor Gigadra,effect,Dragon,3,,1000,1000,DARK
24649931,Materialization,spell,Quick-Play,,,,,
41386308,Mathematician,effect,Spellcaster,3,,1500,500,EARTH
80965043,Mathmech Addition,effect,Cyberse,4,,1000,1000,FIRE
41410651,Mathmech Billionblade Nayuta,spell,Equip,,,,,
36521307,Mathmech Circular,effect,Cyberse,4,,1500,1500,LIGHT
17946349,Mathmech Diameter,effect,Cyberse,4,,1000,1500,LIGHT
89743495,Mathmech Division,effect,Cyberse,4,,1500,1000,EARTH
14025912,Mathmech Equation,spell,Normal,,,,,
14393464,Mathmech Induction,trap,Continuous,,,,,
52354896,Mathmech Multiplication,effect,Cyberse,4,,500,2000,EARTH
53577438,Mathmech Nabla,effect,Cyberse,4,,1000,1500,DARK
27182739,Mathmech Sigma,effect,Cyberse,4,,1000,1500,LIGHT
16360142,Mathmech Subtraction,effect,Cyberse,4,,1000,1000,FIRE
87804365,Mathmech Superfactorial,trap,Normal,,,,,
52904476,Matriarch of Nephthys,effect,Spellcaster,2,,600,600,WIND
92650749,Mature Chronicle,spell,Continuous,,,,,
80921533,Mausoleum of the Emperor,spell,Field,,,,,
24382602,Mausoleum of White,spell,Field,,,,,
59036972,Mavelus,fusion,Winged Beast,4,,1300,900,WIND
94538053,Max Warrior,effect,Warrior,4,,1800,800,WIND
30707994,Maximum Six,effect,Warrior,6,,1900,1600,EARTH
23434538,"Maxx ""C""",effect,Insect,2,,500,200,EARTH
10474647,May Malaipard,effect,Beast,2,,100,100,LIGHT
41867019,Mayakashi Mayhem,trap,Continuous,,,,,
39753577,Mayakashi Metamorphosis,trap,Normal,,,,,
2364438,Mayakashi Return,spell,Normal,,,,,
51225407,Mayakashi Winter,spell,Continuous,,,,,
91405870,Mayhem Fur Hire,spell,Quick-Play,,,,,
93368494,Mayosenju Daibak,effect_pendulum,Beast,10,7,3000,300,WIND
21364070,Mayosenju Hitot,effect_pendulum,Beast,10,3,2000,3000,WIND
6133894,Mazera DeVille,effect,Fiend,8,,2800,2300,DARK
50176820,Mech Bass,normal,Machine,5,,1800,1500,WATER
63545455,Mech Mole Zombie,normal,Zombie,2,,500,400,DARK
10110717,Mecha Bunny,effect,Machine,2,,800,100,EARTH
16943770,Mecha Phantom Beast Aerosguin,effect,Machine,3,,1600,400,WIND
44097050,Mecha Phantom Beast Auroradon,link,Machine,3,,2100,,WIND
4417407,Mecha Phantom Beast Blackfalcon,effect,Machine,4,,1200,1700,WIND
67489919,Mecha Phantom Beast Blue Impala,effect,Machine,3,,1400,1100,WIND
94973028,Mecha Phantom Beast Coltwing,effect,Machine,4,,1600,1500,WIND
53451824,Mecha Phantom Beast Concoruda,synchro,Machine,7,,2400,1200,WIND
22110647,Mecha Phantom Beast Dracossack,xyz,Machine,7,,2600,2200,WIND
66200210,Mecha Phantom Beast Hamstrat,effect,Machine,3,,1100,1600,WIND
20368763,Mecha Phantom Beast Harrliard,effect,Machine,4,,1800,800,WIND
26949946,Mecha Phantom Beast Jaculuslan,synchro,Machine,9,,2700,2000,WIND
41329458,Mecha Phantom Beast Kalgriffin,effect,Machine,7,,1000,2500,WIND
31533704,Mecha Phantom Beast Megaraptor,effect,Machine,4,,1900,1000,WIND
72291078,Mecha Phantom Beast O-Lion,effect,Machine,2,,600,1000,WIND
44026393,Mecha Phantom Beast Raiten,effect,Machine,4,,1500,1500,WIND
